,Month,SilverPrice,GoldPrice,date,year,month
130,Jan-08,632.29,35025.78,01-01-2008,2008,1
131,Feb-08,701.87,36642.46,01-02-2008,2008,2
132,Mar-08,775.49,39082.77,01-03-2008,2008,3
133,Apr-08,700.96,36416,01-04-2008,2008,4
134,May-08,718.2,37435.38,01-05-2008,2008,5
135,Jun-08,729.63,38087.88,01-06-2008,2008,6
136,Jul-08,773.8,40256.56,01-07-2008,2008,7
137,Aug-08,625.97,36026.85,01-08-2008,2008,8
138,Sep-08,555.58,37815.02,01-09-2008,2008,9
139,Oct-08,507.2,39235.79,01-10-2008,2008,10
140,Nov-08,483.55,37284.82,01-11-2008,2008,11
141,Dec-08,501.82,39696.27,01-12-2008,2008,12
